营业执照注册号/统一社会信用代码 名称 类型 法定代表人 注册资本 成立日期 住所 营业期限自 营业期限至 经营范围 登记机关 核准日期 登记状态
120000000004094/91120000103607112F 天津大沽化工股份有限公司 股份有限公司 杨恒华 115750.0167万元 20001220 天津市滨海新区塘沽兴化道一号 20001220 20501219 生产经营环氧丙烷、盐酸、次氯酸钠、过氧化钠、压缩空气、压缩氮气、压缩氧气、氢氧化钠、液氯、氢气、苯乙烯、甲苯；使用电石、丙酮、丙烯腈、2,6-二硝基-4-叔丁基苯酚、对叔丁基邻苯二酚、氢氧化钾、二氯乙烷、氯乙烯、乙烯、环氧乙烷、环氧丙烷、乙炔、丙烯腈、苯乙烯、丙烯、邻苯二甲酸二辛脂、甲醇、液化石油气、乙醇、硝基苯、四氢呋喃、金属钠、丙酮、苯、硫磺、硝酸钠、液氨、高锰酸钾、过氧化氢、高氯酸、氯化钡、三氧化二砷、氰化钾、硝酸汞、醋酸、硫酸、硝酸、氢氧化钾、硫酸汞；化工产品（危险化学品、剧毒品及易制毒品除外）、塑料制品、建筑材料生产和经营；装卸；普通货运；仓储（危险品、煤炭及有污染性货物除外）；化工专用设备制造；钢材销售；设备租赁；自有房屋租赁；进出口业务；无缝气瓶检验、焊接气瓶检验；苯乙烯生产（限分支机构经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20151111 存续
120000000004109/911200007229805307 天津市盈通物资有限公司 有限责任公司(法人独资) 苗桂杰 19335.348万元 20000622 天津市河北区建国道66号 20000622 20200621 金属材料、化工轻工材料（易燃、易爆、易致毒危险品除外）建筑材料、装饰装修材料、五金矿产、汽车（含小轿车）、机电产品的批发兼零售；设备租赁；木材、机械电子设备及零配件、日用百货、交电、煤炭、焦炭、金属矿产批发兼零售；以自有资金对商业投资；机器设备租赁；商品信息咨询（不含中介）；仓储（化学危险品除外）；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20160926 存续
120000000004117/911200007182719185 天津市福浩实业有限公司 有限责任公司(法人独资) 赵志伟 20000万元 20000222 天津市河北区建国道66号 20000222 20200221 木制品加工、生产；木材及其制品、化工材料及产品（易燃、易爆、易致毒危险品除外）、钢材、纸浆及纸制品、金属制品、金属材料、矿石及矿产品批发兼零售；建筑工具租赁服务；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）；对煤业进行投资、煤炭、焦碳批发兼零售；市场开发服务；工业生产用氯、丙烯醛、丙烯、三氯氧磷、二类1项易燃气体、二类2项不燃气体、二类3项有毒气体、三类1项低闪点液体、三类2项中闪点液体、三类3项高闪点液体、四类1项易燃固体、四类3项遇湿易燃物品、五类1项氧化剂、五类2项有机过氧化物、八类1项酸性腐蚀品、八类3项其他腐蚀品（监控、一类易制毒化学品除外）批发（无存储、租赁仓储及物流行为）（有效期至2010年12月31日）；房屋租赁；商品信息咨询；限分支机构经营：仓储；绿化；种植；养殖；塑料制品、建筑材料、装饰装修材料、五金、交电、金属机构及构件、机电产品（小轿车除外）、橡胶制品、服装及配饰、鞋帽、箱包、化妆品、首饰、毛皮及皮革制品、家居用品及饰品、家用电器、手机数码产品、母婴用品、汽车饰品（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20150727 存续
120000000004125/91120000792510729B 日月同辉投资集团有限公司 有限责任公司 党朝霞 11500万元 20060725 和平区南市旅馆街乙商8号 20060725 20360724 以自有资金对房地产业、物业管理业、建筑装饰业、道路桥梁、港口矿山、水电、农林牧渔业投资；企业形象策划、企业管理政策咨询、广告业务、经济信息咨询、展览展示服务、货物进出口（限从事国家法律法规允许的进出口业务）；汽车（小轿车除外）、机电设备、金属材料、矿产品（钨锡锑矿产品及冶炼产品除外）、钢材、木材、化工产品（危险品及易制毒品除外）、塑料、纺织原料、百货、工艺礼品批发兼零售。黄金珠宝零售；电线电缆销售；润滑油销售；燃料油7＃销售（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20131202 存续
120000000004133/91120000103062765T 中国有色金属进出口天津公司 全民所有制 王玉长 107.9万元 19840120 天津市河西区绍兴道253号 19840120 - 国家批准的二、三类计划商品及其它三类商品的出口及三类商品的进口业务；接受委托、代理上述出口业务；承办中外合资经营、合作生产业务；承办来料加工、来样加工、来件装配业务；开展补偿贸易、转口贸易；自营或代理除国家组织统一联合经营的16种出口商品及国家实行核定公司经营的14种进口商品以外的其他各类商品的进出口业务；商品信息咨询服务；木材、棉花、食用农产品（豆类、粮食、蔬菜）、饲料、煤、煤制品、焦炭、机械设备（不含汽车）、金属材料、矿产品、化工产品（危险品及易制毒品除外）批发兼零售(以上经营范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20141110 存续
120000000004141/911201186737078795 民生金融租赁股份有限公司 股份有限公司 周巍 509500万元 20080402 天津市空港物流加工区西三道158号金融中心3号楼01-02门402室 20080402 - 融资租赁业务；转让和受让融资租赁资产；固定收益类证券投资业务；接受承租人的租赁保证金；吸收非银行股东3个月（含）以上定期存款；同业拆借；向金融机构借款；境外借款；租赁物变卖及处理业务；经济咨询；在境内保税地区设立项目公司开展融资租赁业务；为控股子公司、项目公司对外融资提供担保；中国银监会批准的其他业务（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市自由贸易试验区市场和质量监督管理局 20160519 存续
120000000004150/91120000673711499L 天津市历史风貌建筑土地整理有限公司 有限责任公司(法人独资) 张金丹 2000万元 20080402 天津市和平区成都道156号 20080402 20280401 土地整理开发；园林绿化建设；对房地产业（项目）进行投资及经营管理；投资咨询；工程技术开发、转让；房屋拆迁（以上范围内国家有专营专项规定的按规定办理） 天津市市场和质量监督管理委员会 20141008 存续
120000000004168/91120000700573846Y 天津滨江国际大饭店有限公司 有限责任公司(法人独资) 王怡民 10000万元 19980925 天津市和平区建设路105号 19980925 - 各类商品的零售、批发；摄影业；日用品修理业；自营和代理各类商品及技术的进出口业务（国家规定的专营进出口商品和国家禁止进出口等特殊商品除外）；自有房屋出租；物业管理；预包装食品零售；会议服务；以下限分支机构经营：餐饮；洗染业、经营客房、洗浴业、复印、烟零售；游泳池、健身房；美发、商品经纪；为营业性演出提供场所（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理）。 天津市市场和质量监督管理委员会 20150713 存续
120000000004176/91120000730349220D 一德期货有限公司天津营业部 有限责任公司分公司 刘阳 -万元 20010712 天津市南开区水上公园路水云花园C19号 20010712 - 商品期货经纪、金融期货经纪（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20140110 存续
120000000004192/9112000010306826X4 天津长芦海晶集团有限公司 有限责任公司(国有独资) 张维忠 90000万元 19950626 天津市滨海新区塘沽营口道1088号 19950626 20500101 海盐开采；化工产品生产、销售（危险品除外）；工业溴、四溴乙烷、氢溴酸、二溴甲烷、1-溴丙烷、2-溴丙烷生产；采盐机械、化工设备制造；货物运输；海水养殖；计算机软、硬件、网络工程；商业、物资供销的批发、零售；企业经营本企业自产产品及相关技术的出口业务；经营本企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及相关技术进口业务；经营本企业的进料加工和三来一补业务；仪器、仪表检测；仓储（危险品除外）；自有房屋、设备租赁；劳务服务；建筑安装；土石方工程；泡菜盐、腌制盐生产、销售；钢材销售；化肥销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20160802 存续
120000000004205/911200001030643818 天津港股份有限公司 股份有限公司(中外合资、上市) 卢伟 167476.912万元 19820929 天津自贸区（天津港保税区）通达广场1号A区 19820929 - 商品储存；中转联运、汽车运输；装卸搬运；集装箱搬运、拆装箱及相关业务；货运代理；劳务服务；商业及各类物资的批发、零售；经济信息咨询服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）；自有房屋、货场、机械、设备的租赁业务(依法须经批准的项目，经相关部门批准后方可开展经营活动)*** 天津市自由贸易试验区市场和质量监督管理局 20160726 存续
120000000004213/91120000792530498X 天津市津勘岩土工程股份有限公司 股份有限公司 张百鸣 1500万元 20060920 天津市南开区迎水道20号 20060920 20460919 工程地质、水文地质、工程测量、岩土（治理）、测绘、桩基检测；矿产地质普查和勘探、矿产地质调查、勘探的技术咨询、技术服务；地质实验服务、工业民用建筑基础桩工程勘察设计；水上勘察、水上测绘；地球、空间和海洋技术的开发、咨询、服务、转让；岩土工程桩基工程；各种基础处理；地质技术咨询及地质技术开发、矿产地质勘察；机械设备、型钢租赁；货物进出口（法律、行政法规另有规定的除外）；房屋租赁（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理）。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市市场和质量监督管理委员会 20161122 存续
120000000004221/91120000103313384B 天津第四市政建筑工程有限公司 有限责任公司 崔贺涛 10830万元 19801012 河西区紫金山路4号 19801012 20200303 土木工程建筑；市政建设工程；公路工程施工；机电设备安装；钢结构制做安装；起重设备安装；基础工程；以下限分支经营：室内外装饰；金属门窗制做安装；钢筋加工；建筑机械、工具、器材、运输机械租赁；普通货运；自有房屋租赁（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20160621 存续
120000000004230/911200007522308531 天津市银泰投资集团有限公司 有限责任公司 解玉刚 18210万元 20030826 红桥区丽泰公寓商用楼201 20030826 20330826 以自有资金对房地产、工业项目投资；从事广告业务（法律法规禁止经营的除外）；房地产开发；房屋租赁；装饰装修材料、五金交电、机电产品批发兼零售；物业服务。（以上经营范围涉及许可证的在未取得之前不得从事生产经营活动，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20120601 存续
120000000004248/91120000239076779K 天津市中原房地产开发有限公司 有限责任公司 欧阳旭津 3000万元 19950628 天津市河北区靖江路7号 19950628 20400627 房地产开发服务；纺织品、百货、金属材料、五金、交电批发兼零售、代购、代销（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20151102 存续
120000000004256/911200001035449753 天津津酒集团有限公司 有限责任公司(国有独资) 王富生 9700万元 19810730 天津市红桥区丁字沽三号路 19810730 20291028 白酒、其他酒（配制酒）生产、销售；经营本企业自产产品及技术的出口业务；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务；（国家限定公司经营和国家禁止进出口的商品除外）；经营进料加工和三来一补业务；粮食收购；农副产品收购（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市红桥区市场和质量监督管理局 20160708 存续
120000000004264/911200001030644456 天津航运有限责任公司 有限责任公司(国有独资) 李伟 2467万元 19950727 和平区重庆道大兴新邨12号（现6号） 19950727 20500101 国际近洋与国内沿海货物运输和集装箱运输及相关业务；为本公司自有船队服务的海运进出口货物的国际货运代理业务；国内沿海货运代理、船舶代理及租赁；国内水路货物运输代理、船舶代理（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20120716 存续
