营业执照注册号/统一社会信用代码 名称 类型 法定代表人 注册资本 成立日期 住所 营业期限自 营业期限至 经营范围 登记机关 核准日期 登记状态
120000000007247/91120000681861243G 天津维保安全技术服务有限公司 有限责任公司 刘井才 50万元 20081117 天津自贸区（东疆保税港区）美洲路联检服务中心六层6032-24室 20081117 20281116 以服务外包方式提供安全咨询服务；安全防范工程系统工程设计、施工及咨询服务；清洁服务、劳务服务、物业管理；汽车租赁；办公用品、通讯器材、消防器材销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市自由贸易试验区市场和质量监督管理局 20151215 存续
120000000007255/91120000000125719D 天津市旅游（控股）集团有限公司 有限责任公司(国有独资) 张大为 39168.7568万元 20020520 河西区友谊路18号 20020520 - 对市政府授权范围内的国有资产实施监督管理和资本运营；旅游服务、旅游资源及产品的开发、培训及信息咨询（不含中介）；自有房屋租赁（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20160713 存续
120000000007263/91120000600836004A 天津中盈集团有限公司 有限责任公司 解亚莉 6000万元 19951222 天津开发区第二大街33号5层503 19951222 20251222 以自有资金对酒店业、餐饮业、土地开发业、基础设施建设业、房地产业、金融业、物业管理业、规划设计业、装饰装修业、商业、物资供销业进行投资；投资管理；投资咨询服务；对酒店、饭店的管理、咨询服务；场地租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20150415 存续
120000000007271/91120000681859100F 天津慧盛德劳动服务有限公司 有限责任公司 马丽娜 100万元 20081118 天津东疆保税港区美洲路联检服务中心六层6032-23室 20081118 20281117 劳动服务，家政服务，自有机械设备租赁，搬运、装卸服务，建筑材料、五金交电、机电设备、日用百货的批发兼零售。（以上范围涉及国家专项、专营规定的，按国家规定办理） 天津市市场和质量监督管理委员会 20101129 吊销
120000000007280/91120000730375162C 天津武清城市建设投资开发集团有限公司 有限责任公司(法人独资) 王树民 20400万元 20010815 天津市武清区杨村镇雍阳西道 20010815 - 房地产开发、建筑材料销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市武清区市场和质量监督管理局 20150105 存续
120000000007298/911200006818609532 天津现代集团有限公司和平分公司 有限责任公司分公司 马成喜 -万元 20081118 天津市和平区南京路237号河川大厦第三层306 20081118 - 自有房屋租赁；物业服务（以上范围内国家有专营专项规定的按规定办理） 天津市市场和质量监督管理委员会 20081125 存续
120000000009620/911201186877317493 天津旭联化工有限公司 有限责任公司 孔繁煜 100万元 20090520 天津自贸区（东疆保税港区）亚洲路与欧洲路之间郑州路以南区域东疆金融贸易服务中心B座5010室-33 20090520 20290519 化工产品（危险化学品及易制毒品除外）、劳保用品、建筑材料、五金交电、机械设备、机电产品（小轿车除外）、文化办公设备及耗材、电子产品、服装纺织品、金属材料的批发兼零售；自营和代理货物及技术的进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市自由贸易试验区市场和质量监督管理局 20150421 存续
120000000009638/91120000103062490D 中国华星农业产业发展公司 全民所有制 陈立廷 1483万元 19860719 天津市和平区南京路305号7楼 19860719 - 食用农产品批发销售；农业技术研发推广；货物进出口；组织废金属、旧型材料、旧船舶解体材料、报废飞机、报废机电设备、旧工业电器材料、旧仪器仪表、废橡胶、废塑料、废纸、军队退役报废装备的回收、加工利用和组织来料加工；回收加工材料（含钢材、生铁及其制品、有色金属）；技术咨询、计划汽车调拨；为回收加工组织钢材、有色金属（含钨、锑、金、银以外的衡有金属和贵金属）；钢坯、生铁及其制品、矿石的销售（以上范围内国家有专营专项规定的按规定办理）。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市市场和质量监督管理委员会 20160627 迁出
120000000009646/91120000687733058F 上海市城市建设设计研究院天津生态城分院 集体分支机构(非法人) 饶进国 -万元 20090521 天津生态城汉北路7号增36号 20090521 - 市政公用、建筑、规划、设计，工程地质勘察；经济信息咨询服务；造价咨询（审价）（以上范围内国家有专营专项规定的按规定办理） 天津市滨海新区市场和质量监督管理局 20151224 注销
120000000009654/911200006877352488 天津龙鼎停车服务有限公司 有限责任公司 徐振勇 3万元 20090521 天津市河西区尖山路108号 20090521 20390520 停车服务；洗车；汽车配件销售；汽车租赁；二手车收购、销售（不含新车）；为旧机动车交易活动提供咨询服务；代办机动车行驶证、驾驶证登记及年检手续服务；劳务服务（以上范围内国家有专营专项规定的按规定办理） 天津市市场和质量监督管理委员会 20150611 存续
120000000009662/91120000687732987B 天津市联盟影视外景有限公司 有限责任公司 储栢刚 100万元 20090521 天津市河北区靖江路义江道36号 20090521 20290520 影视外景策划、设计及相关咨询服务；对影视业进行投资；劳务服务（以上范围内国家有专营专项规定的按规定办理） 天津市市场和质量监督管理委员会 20131202 吊销
120000000009679/91120000797273726D 北方工业天津储运有限公司 有限责任公司(法人独资) 王新建 500万元 20070129 天津开发区黄海路3号中航大厦B302室 20070129 20270128 仓储（危险化学品除外）；货物运输代理；为企业提供劳务服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20140923 存续
120000000009687/91120000687733525F 天津高士传媒广告有限公司 有限责任公司 张士德 50万元 20090522 天津东疆保税港区海天物流园2层202015室 20090522 20290521 广告业务（以上范围国家有专营专项规定的按规定办理）。 天津市自由贸易试验区市场和质量监督管理局 20160621 注销
120000000009695/911200004012119174 天津投资集团公司 有限责任公司(国有独资) 宋杰 189800万元 19880927 天津市河西区解放南路277号 19880927 - 对经济建设项目投资并进行资产经营管理；产权经济服务；自有设备租赁（不含小轿车）；商品及物资的销售；以上范围的相关信息咨询服务（不含中介）（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20130725 注销
120000000009700/91120000700474952X 天津市德亿达投资集团有限公司 有限责任公司 王玉明 8520万元 19980327 河北区民族路25号 19980327 20180326 以企业自有资金对商业、科技、房地产业进行投资；房地产开发前期代理；企业改制盘活资产服务；其他水资源综合利用的咨询、设计；金属材料及制品、轻化工材料及制品（化学危险品及易制毒品除外）、木材、机电设备、汽车及零配件（小轿车除外）、五金交电、装饰装修材料、建筑材料批发兼零售；金银首饰、瓷器、工艺品批发兼零售（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20151218 存续
120000000009718/91120000687737614X 天津滨海新区中新传媒有限公司 有限责任公司 陈秀杰 100万元 20090525 天津生态城汉北路7号增50号 20090525 20190524 组织国内外文化、艺术交流；承办展览、展示；大型活动策划；企业形象策划；企业营销策划；房地产营销策划、代理、咨询服务；会议服务；广告业务；投资信息咨询；电脑图文设计；摄影、摄像；礼仪服务；喷绘；礼品、箱包设计、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20140717 存续
120000000009726/91120000103072242T 天津滨江集团有限公司 有限责任公司(国有独资) 范宗芳 36353万元 19971203 和平区建设路105号 19971203 20500101 各类商品、橡胶制品、塑料制品及复制品、麻毡制品、建筑材料的批发、零售、代购代销业务；洗染业；摄影业；日用品修理业；与上述业务相关的信息咨询服务业务；自营和代理各类商品及技术的进出口业务，但国家限定公司经营或禁止进出口的商品及技术除外；经营进料加工和“三来一补”业务；对销贸易和转口贸易业务（以上经营范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20090525 存续
120000000009734/91120000712845773G 天津环球旅游制品股份有限公司 股份有限公司 刘玉林 1493.31万元 19990211 天津市宝坻区经济开发区 19990211 20490210 企业经营本企业和本企业成员企业自产产品及相关技术的出口业务（出口商品目录见附件，国家限定公司经营或禁止出口的商品除外）；经营本企业和本企业成员企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及相关技术的进口业务（国家限定公司经营或禁止进口的商品除外；经营本企业的进料加工和“三来一补”业务；旅游账蓬、睡袋、服装、羊绒及旅游制品的制造；普通货运；自有房屋、场地、机器设备租赁（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20130711 存续
120000000009742/911200007491055684 江河水利水电咨询中心天津分部 全民所有制分支机构(非法人) 杜雷功 -万元 20020731 天津市河西区洞庭路60号 20020731 - 水利水电工程咨询、项目评估、技术规程编制；资料翻译；组织新技术开发、推广、转让；人员培训；建筑材料、机电设备（小轿车除外）、电子产品批发兼零售（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20030416 存续
120000000009759/91120000687739943D 天津市国联报废机动车回收拆解有限公司 有限责任公司 李志平 5000万元 20090527 天津市静海县子牙环保产业园区内 20090527 20590526 报废机动车回收、拆解；废旧物资回收；再生资源开发、利用及销售；报废机动车回用件销售；废旧金属拆解加工；金属材料、冶金炉料、化工原料及化工产品（危险品除外）销售；二手车收购、销售、经纪；旧机动车交易咨询服务；市场经营及管理服务（市场用地、占道、卫生、消防等符合国家规定后方可经营）（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20140828 存续
120000000009767/91120000687738246P 天津河北工业大学资产经营有限责任公司 有限责任公司(法人独资) 张思祥 100万元 20090527 天津市红桥区丁字沽光荣道 20090527 20290526 经营管理学校经营性资产和学校的对外投资股权（金融性资产除外）；房屋租赁；对高新技术产业、制造业进行投资；高新技术成果转让；物业服务（以上范围内国家有专营专项规定的按规定办理） 天津市市场和质量监督管理委员会 20161201 存续
120000000009775/91120000767605929E 太平人寿保险有限公司天津分公司 有限责任公司分公司 刘中秋 -万元 20041015 天津市南开区南京路309号环球置地广场11层、12层、1303、1304、1305房间 20041015 - 个人意外伤害保险；个人定期死亡保险；个人两全寿险；个人终身保险，个人年金保险，个人短期健康保险；个人长期健康保险，团体意外伤害保险；团体定型寿险；团体终身保险；团体年金保险；团体短期健康保险；团体长期健康保险；经中国保监会批准的其他人身保险业务（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20150721 存续
120000000009783/91120000687739935J 天津中新生态城福大电子技术开发有限公司 有限责任公司 李俊利 100万元 20090531 天津生态城汉北路7号增35号 20090531 20290530 节能环保产品、高科技产品开发、应用、安装；电子产品开发、生产、销售；建筑材料开发、销售；计算机网络、建筑智能化系统的集成、施工；通讯设备、计算机设备销售；电子设备销售、安装（以上范围内国家有专营专项规定的按规定办理） 天津市滨海新区市场和质量监督管理局 20120717 存续
120000000009791/911201186877388879 天津合恒益国际贸易有限公司 有限责任公司(自然人独资) 宋利明 200万元 20090601 天津自贸试验区（东疆保税港区）海天物流园二层202014号 20090601 20290531 国际贸易；汽车销售（不含小轿车）；汽车配件、汽车装饰用品的经营及相关咨询服务；货运代理服务；建筑材料、工程机械、机电设备、办公设备及用品的经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动）*** 天津市自由贸易试验区市场和质量监督管理局 20150325 存续
120000000009806/911200006877401864 天津君博商贸股份有限公司 股份有限公司 郭维刚 500万元 20090602 宁河县贸易开发区长发路23号 20090602 20500101 五金、交电、钢材、木材、建筑材料批发兼零售；货物进出口（法律、行政法规另有规定的除外）（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20130116 存续
120000000009814/9112000068774059X3 天津易邦资产管理有限公司 有限责任公司 邵为军 1000万元 20090602 天津东疆保税港区海天物流园B库二层202019室 20090602 20290601 投资管理；投资咨询；财务咨询；企业管理咨询。（以上经营范围涉及行业许可的凭许可证件，在有效期限内经营，国家有专项专营规定的按规定办理）*** 天津市滨海新区市场和质量监督管理局 20131120 吊销
120000000009822/91120000687740506J 天津宝丰园商贸有限公司 有限责任公司(自然人独资) 丁瑞荣 10万元 20090602 天津自贸试验区（东疆保税港区）洛阳道600号海丰物流园4号库1单元办公室 20090602 20290601 III类：6684医用卫生材料及敷料；III类：6866医用高分子材料及制品（一次性使用输液器、输血器等除外）；III类：6865医用缝合材料及粘合剂；III类:6825医用高频仪器设备；II类：6856病房护理设备及器具；6808腹部外科手术器械的销售及售后服务、技术咨询服务；办公用品、办公设备、日用百货、电子产品的批发兼零售及相关咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）*** 天津市自由贸易试验区市场和质量监督管理局 20160413 存续
120000000009839/91120000700555664E 天津市东丽经济投资发展有限公司 有限责任公司(法人独资) 郑建军 2000万元 19980831 天津市东丽区经济开发区香港花园香江环路10号 19980831 20180830 用自有资金投资兴办企业；有色金属、建筑材料的批发、零售；自有房屋租赁；投资咨询服务（以上范围内国家有专营专项规定的按规定办理）。 天津市东丽区市场和质量监督管理局 20161214 存续
120000000009847/91120000758144913R 天津大沽化工投资发展有限公司 有限责任公司(法人独资) 杨恒华 29271.35万元 20040331 天津市滨海新区塘沽兴化道1号 20040331 20540330 以自有资金对化工制造、贸易业、交通运输业、仓储业进行投资；化工产品（剧毒品、危险化学品及易制毒品除外）、塑料制品、建筑材料、化工专用设备制造、钢材、化工（剧毒品、危险化学品及易制毒品除外）销售；仓储（危险品除外）；装卸；自有房屋租赁；设备租赁；土建安装；货运代理；企业空闲场地租赁；劳务服务；绿化工程及管理；保洁服务；物业管理；化工、机电一体化技术开发、技术转让、技术服务、设计服务；限分支机构经营：住宿、中餐服务、日用百货、小食品、酒零售；化工产品的生产（危险化学品、剧毒品及易制毒品除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20151111 存续
120000000009855/911200006877416805 天津生态城天城置业有限公司 有限责任公司 刘德朝 30503.11万元 20090603 天津生态城汉北路7号增44号 20090603 20590602 房地产开发；房地产信息咨询；商品房销售；物业服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20141014 存续
120000000009863/911200006877416992 天津生态城万拓置业有限公司 有限责任公司(法人独资) 白牧 15075.38万元 20090603 天津生态城汉北路7号增31号 20090603 20260602 房地产开发；房地产信息咨询；商品房销售；物业服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20160722 存续
120000000009871/91120000724462518C 大港油田集团对外经济贸易公司 全民所有制分支机构(非法人) 刘明发 -万元 19970821 天津市大港油田团结西路 19970821 - 天然原油、天然气勘探、开采、加工及制品受集团公司经营本企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及相关技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20141230 存续
120000000009880/9112000010306906X0 天津天鼎纺织集团有限公司 有限责任公司(法人独资) 付宝国 7843.6617万元 19810808 河东区郑庄子西台大街15号 19810808 20500101 纺织品、针织品、服装、制线的制造及加工；仓储；经济信息咨询服务；商业、各类物资的批发、零售、代购、代销（以上经营范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20120518 存续
120000000009898/91120000687746203K 天津博鲁斯克科技有限公司 有限责任公司 宁书静 150万元 20090608 天津生态城汉北路7号增54号 20090608 20290607 化工技术研发；实验室专用仪器设备及实验室家具、化工产品（化学危险品及易制毒品除外）、五金交电、电子产品、通讯器材、仪器仪表、建筑材料、装饰装修材料、塑料制品、橡胶制品、纸制品、木制品、矿产品（煤炭除外）、文化办公用品及设备、机械设备、机电产品（小轿车除外）、劳保用品、汽车配件、金属材料、服装纺织品、家具、皮革制品、工艺美术品、玩具、化妆品批发兼零售；仓储服务（危险品除外）、劳务服务（以上范围内国家有专营专项规定的按规定办理） 天津市滨海新区市场和质量监督管理局 20160118 存续
120000000009902/9112000068774622X6 天津蓝基纳米储能科技有限公司 有限责任公司 孙前程 100万元 20090608 天津生态城汉北路7号增53号 20090608 20290607 纳米电容器的研发、生产、销售及相关的技术咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20111014 存续
120000000009919/91120000103071928U 天津鑫茂科技股份有限公司 股份有限公司(上市) 徐洪 120845.5224万元 19970916 天津市滨海高新区华苑产业区榕苑路1号A区八层 19970916 20500101 计算机软件、硬件、信息系统集成、信息处理与服务；光机电一体化；仪器仪表、计算机及外围设备、文化办公用机械；家用电器、家用电子产品；计算机修理；安全技术防范工程设计、施工、维修；自有房屋出租业务；保安监控、防盗器材生产与销售；无线通信终端设备经销、计算机知识培训；经营本企业自产产品及技术的出口业务；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务（国家限定公司经营和国家禁止进出口的商品除外）；经营进料加工和“三来一补”业务；纸张批发与零售；机械、电器及制冷设备的安装、施工、智能建筑（系统集成其中消防系统除外）、有线电视系统设计安装；商品房销售代理；房地产信息咨询；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）；通信用光纤、光缆生产及销售；物业管理及相关服务；停车服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20160822 存续
120000000009927/911200007257177460 天津渤海化工有限责任公司 有限责任公司(法人独资) 赵立志 20000万元 20001220 天津市和平区大理道30号 20001220 20500101 纯碱、烧碱、聚氯乙烯树脂、其它无机化学原料、有机化学原料、合成材料的制造及加工；精细化工产品的制造及加工；化学工程设计；自有房屋租赁；化工技术咨询；为企业提供劳务服务（以上范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20151116 存续
120000000009943/91120000803700107D 大港油田集团报社 全民所有制分支机构(非法人) 吴中革 -万元 19930407 天津市大港油田创业路东 19930407 - 出版物印刷品印刷、包装装潢印刷品印刷、其他印刷品印刷；书报刊编辑出版；激光排版拷贝；照相；广告设计制作、宣传；印刷机械、文化办公用机械修理；系统内通讯员培训。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20141030 存续
120000000009951/91120000803698692G 大港油田集团文化体育中心 全民所有制分支机构(非法人) 吴中革 -万元 19930213 天津市大港油田三号院团结路 19930213 - 文体设施及场地服务；体育表演、艺术表演；影剧院、放映设备出租、场地出租；美术品制作；装饰设计；图书管理；文化艺术品展览；摄影、冲扩；预包装食品兼散装食品零售；日用百货零售；文化体育用品零售；卷烟零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20141030 存续
120000000009960/911200007491100173 天津市华建水务配套建设有限公司 有限责任公司(法人独资) 杨建新 1000万元 20030418 天津市南开区密云一支路18号 20030418 20230417 自来水、中水、直饮水、二次供水、污水处理项目配套建设及咨询服务（不含中介）；劳务服务；自来水设备租赁（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理） 天津市市场和质量监督管理委员会 20151116 存续
120000000009978/9112000071826681XW 大港油田集团井下作业公司 全民所有制分支机构(非法人) 赵智勇 -万元 19931226 天津市滨海新区大港油田三号院红旗路 19931226 - 水井修理；修井作业；机电设备安装、道路维修；普通货运；石油、天然气技术咨询及服务；油气水井的侧钻、浅钻、套损套变、修复及试油、压裂、试采、测试、酸化、调剖、堵水的技术服务；塑料制品、绕丝金属筛管、螺杆钻、金属结构件、防水建材制造、铸造；机加工。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20141118 存续
120000000009994/91120000103062773M 北方国际集团天津亿利达有限公司 有限责任公司(法人独资) 张立钢 2151.6667万元 19960422 和平区营口道30号 19960422 20500101 经营、代理国家统一联合经营的16种出口商品和国家核定公司经营的14种进口商品除外的商品和技术的进出口业务；承办中外合资经营、合作生产；三来一补；转口及易货贸易；商业、各类物资的批发、零售、代购、代销（含生产加工）；仓储；自有房屋租赁；承办集团企业产品展览；计算机技术开发及服务；经济信息咨询；翻译；对外派遣工程、生产及服务行业劳务人员（不含海员）；（以上经营范围内国家有专营专项规定的按规定办理）。 天津市市场和质量监督管理委员会 20150422 存续
120000000010007/911200001030676620 天津汽车工业华北销售集团有限公司 有限责任公司 周永胜 5000万元 19941118 北辰区北仓道 19941118 20441117 汽车、汽车配件及汽车销售有关的维修、技术咨询、技术服务、仓储运输、简单加工；为汽车工业配套所需原材料；小轿车（国家有规定的按规定办理）的批发、零售业务；代理财产损失保险、短期健康保险和意外伤害保险、责任保险；二手车交易；汽车租赁；进出口业务（法律、行政法规另有规定的除外）。（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理）（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市市场和质量监督管理委员会 20150413 存续
120000000010015/91120118687747185U 天津百利机械装备研究院有限公司 有限责任公司(法人独资) 孙凤霞 1000万元 20090610 天津自贸区（空港经济区）航海路180号 20090610 20590609 电子信息、机电一体化、新能源和节能、环境科学和劳动保护、新型建筑材料的技术开发、咨询、服务、转让；广告业务；机电产品（小轿车除外）制造；电机、机械电子设备、建材、五金、交电、化工产品（危险品及易制毒品除外）批发兼零售（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市自由贸易试验区市场和质量监督管理局 20160607 存续
120000000010023/911200008037024950 大港油田集团设备物资开发利用公司 全民所有制分支机构(非法人) 黄升阳 -万元 19931026 天津市大港油田三号院 19931026 - 闲置设备、废旧设备的收购；金属加工；针织品、纺织品、物资供销；提供劳务；闲置设备、废旧设备、配件销售；自有房屋出租（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20150505 注销
120000000010031/911200006877464736 天津市滨海和华技术发展有限公司 有限责任公司 黄秀英 50万元 20090611 天津东疆保税港区海天物流园二层202016房间 20090611 20590610 工业用添加剂的技术开发、转让、咨询；机电设备、化工产品（危险品除外）、分析仪器销售；项目管理咨询。（以上范围国家有专营专项规定的按规定办理） 天津市自由贸易试验区市场和质量监督管理局 20150212 存续
120000000010040/91120000803060461E 大港油田集团物资供销公司 全民所有制分支机构(非法人) 郑洪光 -万元 19920805 天津市滨海新区大港油田勘探路 19920805 - 钢材、有色金属材料、轻工材料、木材、机械设备、电器设备、五金、交电、泥浆材料、建筑材料、钢管制品、橡胶制品、塑料制品、仪器仪表、针织品、纺织品、汽车配件销售；闲置设备、废旧设备的收购、销售；为企业提供劳务服务；氯、氯化汞、氟化钾、氟化钠、过二硫酸铵、过二硫酸钾、甲苯、2-甲基-1-丙醇、甲醛溶液、甲烷、酒石酸锑钾、硫酸、六亚甲基四胺、氯化钡、氯化锌溶液、硼氢化钾、硼氢化钠、氢氧化钾、氢氧化钠、壬基酚聚氧乙烯醚、三氯化铝[无水]、三氯甲烷、石油醚、四氯化钛、硝酸、硝酸锶、硝酸锌、硝酸镁、硝酸钾、硝酸银、硝酸镧、盐酸、液化石油气、乙醇[无水]、乙炔、乙酸铅、正磷酸、甲醇、丙酮、高锰酸钾、氨水、异丙醇、邻二甲苯、间二甲苯、对二甲苯、四氯化碳、次磷酸、氮[压缩的或液化的]、二氧化碳[压缩的或液化的]、氦[压缩的或液化的]、氢、氙[压缩的或液化的]、溶剂油[闭杯闪点≤60℃]、生漆、石脑油、石油气、石油原油、亚磷酸、氩[压缩的或液化的]、氧[压缩的或液化的]、氧化亚氮、环已烷、N，N-二甲基甲酰胺、乙腈、硫化钠、1，2-乙二胺、亚硫酸氢钠、巯基乙酸、氨基磺酸、碘酸钾、重铬酸钾、亚硝酸钠、4-硝基苯酚、二氯甲烷、乙酸、乙酸乙酯、甲酸、2，4-戊二酮、硫酸铍、甲基磺酸、高碘酸钾、异辛烷、二硫化碳、二碘化汞、硫酸汞、三氯化钛、甲基叔丁基醚、次氯酸钙、溴水、铬酸钾、硝化甘油、硫脲、硒、氢氟酸、硝酸铵、三氯化铁、三氯化铁溶液、次氯酸钠溶液、正已烷、亚氯酸钠、亚氯酸钠溶液、氯化钴、含易燃溶剂的合成树脂、油漆、辅助材料、涂料等制品[闭杯闪点≤60℃]无储存经营；自有房屋出租。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20161027 存续
120000000010058/91120000687749375C 天津生态城万宏置业有限公司 有限责任公司 卢冰 3000万元 20090612 天津生态城汉北路7号增32号 20090612 20590611 房地产开发；商品房销售；房地产信息咨询；物业服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20131119 存续
120000000010066/91120000687749340R 天津生态城嘉铭融合城市开发有限公司 有限责任公司(法人独资) 胡卫民 6000万元 20090612 天津生态城汉北路7号增51号 20090612 20590611 城市基础设施建设开发；房地产开发；商品房销售；物业服务；房地产信息咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 天津市滨海新区市场和质量监督管理局 20140821 存续
